author_title,review_text,review_rating
Purva Budholia,"I've been part of the IPBA batch. I had a wonderful experience throughout the course. I appreciate IIM Indore and Jigsaw to come up with such program. The course is very well structured and conducted through out.  The faculties were good and supportive always.

I learned a lot in this program and Would recommend aspirant who want to pursue their career in Data Science, Go and register without hesitation.

Special thanks to Moses for through out support. He is adding a star in this program. Always a ping away for any query. Thanks Moses!!",5
Vartika Singh,Took Full stack data science course: I had a great experience with Jigsaw Academy as there way of teaching and making it interactive for online classes is really nice. Got to learn alot from the course and the trainers were very soft spoken and knowledgeable.,5
Soumya S Igoor,"I had enrolled for the Full Stack Data Science program and due to a  few unavoidable circumstances, I couldnt start the course. My heartfelt regards to the Board of Jigsaw Academy and also to Mr. Shabeer who were very kind enough in giving an extension along with adding two more excellent programs FS ML and AI. My faculty Ms. Nityalakshmi who is very knowledgeable, approachable and resourceful was of a great support in clearing my doubts and helping me move on to the next higher level. My course coordinator was Ms Reshma  Iyer and she rendered her continuous support throughout my journey till scheduling of my viva and final certification. Thank you maam. :-).  Ms Hemalatha and Ms. Sharon helped in projecting the tickets raised to the concerned department and in the feedback process.
The course content is excellent,  well structured and easy to understand with simple examples. I recommend Jigsaw Academy
to all Data Science aspirants for their prompt, well updated faculty, extremely good course content, challenging capstone projects which trains students to face interviews at ease. I got certified in Feb - 2022 and have already started to miss Jigsaw! :-) :-) Looking forward for more learning opportunities from Jigsaw Academy.",5
Dhairya Ingle,"The people at the academy are extremely helpful. Syed, particularly has been hands-on with each and every question posed by you... Also, the courses at Jigsaw are quite in demand! I work in the media industry for a tad more than 7 years and pursuing Product Management helped me get a better job. The best part is the concept of Bring Your Own Product wherein you implement all your learnings and the mentors guide you well and make you think differently...",5
Kailash jangid,"I came across this course related to Product Management conducted by IIM Indore in collabaration with Jigsaw which I found to be the right one to upskill my career. I was impressed with the curriculum and the vast areas that it covers under product management. The Institute adds a lot of value to the course  and content since it covers a wide range of product management topics and it is relevant to the current market. The Lecturers also support their teaching with latest industry examples that make it easy for us to learn. I would recommend this course to my friends considering the positive experience I have had being part of this course.

Special Thanks to Irshad for quickly resolving all the queries and all the support he had provided. He is one of the main reason why i rated 5 star to jigsaw.",5
pooja shrivastava,"I enrolled for the Integrated Program In People Analytics & Digital HR (PADHR) course. This course gives a great understanding of different fields in  HR analytics and their applications. Faculty were good and the Jigsaw portal videos make things really simple.  Project coordinator - Irshad, as well as other support team are quick to provide any help required. Thank you!!",5
Deepak Upadhyay,"The IIM-Indore and Jigsaw - Integrated Program in Business Analytics (IPBA) is overall a very good program for those who want to acquire skills in and around domain of Data Science.

The online classes are over weekends followed with own self-study during weekdays and then getting ready for graded exams and projects. If you are thinking for getting enroll, it’s a yearlong commitment which is required. I took up this challenge, for me it was going back to full fledge dedicated learning after 15 years of my post-graduation. I am happy that I have completed this, got to learn a lot, now waiting for overall result and convocation at IIM-Indore.

About the course, my views
•	Curriculum Content – cover what is relevant in today’s business world, statistics, R, SQL, Python, ML, Tabalue etc.  I see people around me using all of these to perform day to day job at work and see increasing application of such tools.

•	Faculty – you will have both IIM-Indore and Jigsaw faculty taking up the topics. Its team of great professors who will impart their knowledge to you and will be available for assistance as well. Here, self-learning is equally important, before any new topic starts its advisable to go thru the Jigsaw videos, given few topics will be new to everyone.

•	Learning Experience – for me being a Chartered Accountant (CA) by profession, statistics was what I had learned previously but need revision. I had reservation on technical soundness, but the course starts from basic of each language (R, Python, SQL), of course you need practice but its manageable.  Given the course has been now completed, I can reasonably say that a non-tech guy can even do coding.

•	Kaggle Competition - we were lucky that Kaggle as a platform was introduced from our batch for project submission and assignments. Trust me, much of our learning happened and conceptual understanding was put to test when we were working on solving all such use cases.

•	Admin Support - You have good support team, Moses and team is there who will assist you during the entire engagement. Thank you for all your support with timely updates of live class content, weekly class notification, open house etc. I would also like to thank the management for their kindness as due to reasons beyond control I had to shift my batch and my request was accepted.

•	Batchmate / Learners – you connect with other learners who like you are there to acquire new skills to enable them grow both personally and professionally. Getting to connect with likeminded people make you learn and unlearn lot of things.

•	Placement – I didn’t opt for this, so cannot comment much. However, they do keep sending you notification of all opening in the market and it starts from the day you join the course.

•	BYOP – the last leg, is to submit your capstone project, it’s a group project to be submitted. As a group you need to get your project the domain you want to focus upon and the apply all your learning / knowledge gained.

Overall a great program to be part of, if you keen to learn new things and explore areas in the domain of Data Science.  Worth investing in yourself, get new skills relevant in current business environment.",5
Nishant Sharma,"I joined Integrated Program in Business Analytics which is a course provided by IIM Indore through Jigsaw. I feel this is one of the best course currently present if you are looking to make your career in the field of business analytics/data analytics. The faculties present are experienced and knowledgeable that help you learn even the smallest of the things.

This course is not just for a tech background person but if you are from non tech background like me, you can easily learn everything. As everything start from the basics and then they go deep into that subject. Iwould higly recommend this course to anyone looking to grow his/her career in the field of business analytics.",5
Anjali Pathak,"I am currently pursuing Product Management course from Jigsaw Academy in collaboration with IIM Indore. Safe to say that it is one of the best decisions I made since I want to build a career in Product Mangement. Overall a very informative course and product related content got well covered.
As for the jigsaw team, it's a fantastic organisation! Great student support from beginning to end of the process. The team are really informed and go the extra mile at every stage, special mention to Mr. Syed and Mr. Irshad from Jigsaw, who have been very helpful in answering my questions as well as helping in finding the best possible solutions to my queries without any delay.
Thanks!
Anjali",5
Bhagyashree Ghosh Vlogs,"I am a Jigsaw Alumini. I can assure you that Jigsaw led courses are going to change your life. I have successfully shifted by career to Data Science from a glamorous English teaching career with Unacademy. This major career transformation was only possible because of Jigsaw Academy's tie-up with IIM Indore and provided the IPBA course. Academically I am a Commerce person and career was in English, no prior experience with codes and softwares. In the IPBA Course we were handholded from start by our mentors who were from Jigsaw and IIM Indore both. I would specially thank our coordinator Moses sir who made the online classess, interactions and communications seemless. Doubts were solved in real-time and job avenues are endless. Jigsaw has a robust placement support. I am personally a member of the Placement Comittee of my IPBA-9 Batch and I know how robust the efforts are. Many of our batchmates are places and we are still working to bring opportunities. If you are a Jigsaw Alumini you can always reach out to Jigsaw for placements and career change. After-course-completion services are a major advantage. I thank Jigsaw to the core of my heart to help me upskill and make me switch my career boldly.",5
Manoj Jain,"I had signed up for their FSDS (full stack data science) course in Mar '21 and had a year's time to complete the course, but sort of abandoned it after a couple of months mostly because of the instructor's failure to make the weekend classes interesting enough to sustain motivation.
However, sometime around Feb '22 I decided to give the course another chance, this time depending solely upon the online content (and Google as a backup!), and I discovered that it was possible to complete the course if one put in some dedicated and sustained effort . . .
And the reason for writing the review is to praise the support team at Jigsaw, which was very supportive, responded to all queries promptly, and granted two extensions to me to complete the course without charging any extra fees.",4
kumari anjali,"I have had the pleasure of doing an Integrated Program in Business Analytics at Jigsaw in partnership with IIM Indore. I had a wonderful learning experience in the past 10 months. Classes were to the point and gave very vast knowledge with Industry hands-on experience. Faculties are learned and the staffs are always on their toes to provide hassle-free learning to every student in the batch. One support of Jigsaw is extremely well managed and provides a quick solution to every query. Assignments are enough to be industry-ready.

Would be happy to recommend Jigsaw to everyone who wishes to be the first choice for any Industry.",5
Pranjal Prashant Balakhe,"I found the course of product management very interesting , well explanation and  in-depth knowledge of the faculties makes learning more insightful . This well designed 6+ months course is very useful for the  people who wanna be an future entrepreneurs  , build a new career , existing product managers and their assistant , have innovative ideas about product / services etc. Overall  Knowledge , approach , implementation and resourceful of this course enables a student to develop the required mindset and thought process in these roles. Thanks to Mr. sayed from jigsaw team and IIM faculties ,to provide such a great expertise with amazing help and support. Looking forward for more learning.",5
Seema kulkarni,I enrolled for HR Analytics program at IIM Indore through Jigsaw academy in September 2021. It was a great learning experience and the faculty/mentors were insightful. The program coordinator Mr Irshad was very supportive throughout the program. Overall very good experience.,5
Kiran Kumar,"I recently completed my IIM Indore - Jigsaw IPBA program. I must say it has been an eye-opener for me. My experience has been excellent. The curriculum is relevant, detail-oriented and fast-paced. Faculty from Jigsaw and IIM Indore is great. Some topics may get confusing in the  beginning but the faculty genuinely want to make sure one gets the fundamentals clear. Project Coordinator - Moses has been extremely supportive in responding to student requests and queries - timely, prompt and effective. Overall a great program and anyone enrolling must keep atleast 8-10 hrs a week aside for pre-class prep to make the most out of this wonderful course !",4
Rahul O,"I usually check reviews before making the decision.  And hence I feel obliged to help others as well.  I chose Jigsaw Academy for my learning after going through reviews and talking with some of my friends.  So far, it has been a great experience overall.  I was looking for a Sales related program that can add value to my knowledge, skill sets and also resume.  I found one that fit my needs - Executive Programme in Strategic Sales Management by IIM Indore and Jigsaw Academy.  My entire experience over the past 8 months since I first started interacting with them has been excellent.  Initially I got complete information from Aditya from Jigsaw.  Later, once admission was completed, Rahul Moses really supported and helped all of us with all the required resources.  We had a great introduction and comprehensive sessions by the Program Director.  all the classes - both from Jigsaw and from IIM Indore were excellent.  Reason is - with the limited time we had - they all provided optimum knowledge and skill share that was possible.  Initially I had issues with the finance aspect, luckily I could arrange.  And now as it ends, I confirm, it was an excellent overall experience.  It is good that the team is very honest, clear, transparent about what all benefits we get and all of these are met.  So, in case you are a student, please do consider this a vote of confidence from my end, do get full information and decide.  Thanks to Jigsaw.",5
Varun Rajshekar,"IIM-Indore and Jigsaw Academy – Post Graduation in Product Management as a whole was very good. The examples, case studies and instruction were all excellent. The course did a good job of covering a lot of material in the time allotted. I found that each of the sessions gave great information and was very interactive.

This 6-month structured course was better then what I could have ever imagined and it did really help me to upskill. BYOP feature helped me gain a realistic & holistic exposure to the life of a Product Manager.

Overall, I am so happy I chose this course and Jigsaw academy’s staff is wonderful too.

Syed Shaheed and Irshad did a great job by supporting me with all the queries and sending across the study materials.",4
Karthik Sriram,"Big Looters . Poor quality training. I joined jigsaw datascience course at 40k . Syllabus is very poor that I don't know earlier . Only after few months I come to know many good courses available at better praise. Please stay away from jigsaw.

Edit after the jigsaw reply.
I am not happy with your reply . You people should have designed course properly that every concept is taught in each language since I pay the hefty amount.

I was told I can choose any language python, r and sas or I can pay 40k for all language course.

Now u people tells I completed only one Language  python I m not eligible for interview. Python is the great Language.",1
CHETHAN KUMAR,"I have enrolled for Full Stack Data Science Program (FSDS), Initially, I was bit worried about coding and stuff since am from non technical background. But Jigsaw and its faculties helped me in understanding the things better right from basics. There contents are well structured, it helped me in gaining the right knowledge and skills which are very much required for Data Analyst.

I specially thank all the Jigsaw faculties who helped me in FSDS certification. Thank you.",4
Harish Chopra,"Great Experience Overall.
Just finished a 6 months Product Management course with IIM Indore - Supported by Jigsaw academy and I am glad to share that it is really worth it. Thanks to my faculties who did their best to teach us the topics and guide us on how to implement it in real life.
Though the whole backend team did a great job in executing this well but wanted to call out Irshad and Syed who were the Jigsaw representatives for our Batch. They always tried take all the questions, concerns and criticism, listen patiently and coming back with the solution.  :-)
Keep up the great job folks.
Thanks
Harish",5
Chetan Kute,"Enrolled for Executive Program In Strategic Sales Management - IIM Indore. (Batch 1) Program is still in progress and expected to end as scheduled.
Got real good learnings from IIM Faculty as well as Jigsaw Academy. Topics in program are well curated.
Enrolling in Course was also get good experience. As, help from Mr Moses regarding Documentation, Fees Payment assistance, Lecture Schedule, Student Learning Journal was prompt. Overall Good Experience till now.",5
Ritika Singh,"I have enrolled for the PGCP program in Product Management. The course is very detailed and covers each topic with extensive research and case studies. The faculty is knowledgeable and approachable.
The whole Jigsaw support team was very supportive and especially the program coordinator Mr Syed Shaheed helped a lot throughout the program and provided support whenever needed. Really appreciate your support Syed!
Would highly recommend Jigsaw Academy to everyone who wishes to learn and grow in their career",5
Karthik Kanderi,"Excellent course. I’ve Persuaded IPBA from IIM Indore In collaboration with Jigsaw Academy. This is the BEST course I've taken so far in my career - or any other online platform for that matter. I appreciate the care taken to script each of the Concepts and brilliance of the IIM professors & Jigsaw Faculty who kept us engaged throughout the course. I started it being a bit sceptical, just with the intention to go quickly through some video scripts. but I changed my mind. There is so much to learn from the course. Special thanks to Professors Pritam Ranjan, Jitendra Manwani & Dr. Raghuram who are pioneers in their respective subjects & excellent at delivering the best . Altogether it was a great learning experience and I would recommend that if you want to learn analytics.
Moses Kola: I would like to specially mention about this guy for being an excellent facilitator right from beginning to the end of the course who’s available all the time & quick at resolving all our Queries. I really commend your dedication & Hard Work & sincerity to your profession.",5
Vineeth Amaradhi,"I did IPBA program which is a collaboration of Jigsaw Academy with IIM, Indore. The program has a well designed ciricullum with good faculty. If you are looking to skill up in Analytics domain, then this is a good course to go. Moses, the program co-ordinator derserves applause for his quick responses, and being available round the clock throughout the course to answer our questions.",5
Neha Arora,The course content is amazing but duration can be increased. The entire jigsaw team is extremely responsive and they enable you to do good. The highlights of the course is BYOP (Bring your own project) which gives practical insights and learning. Infact the same is replicated in the class through case studies as well.,4
harshal waghmare,Strategic sales management program conducted by Jigsaw academy is very good and faculty are to much supportive about placement and other assistance. Mr Moses Kola and Alyesha Khan also very good supporter they help anytime.This course is very important for identify sales and startegic management in overall market.,5
UDAI KUMAR AGARWAL,"They have been boon for those who want to upgrade knowledge and skills. In Uncertain times skill acquired will help to tide over the situation better. I have completed their executive program on sales strategy and found it tremendously enriching and rewarding interns of Acquiring Knowledge, Skills, modifying attitude and inculcating relevant habits in myself and in team.
Three cheers to Jigsaw and IIM Indore. Special thanks to all faculties. 🙏❤️",5
Amrit Dash,"I want to say that my continued experience with Jigsaw Academy was and is nothing short of well rounded and complete.
The course material is organised into easy and quickly graspable modules. The underlying approach is very very intuitive and requires
minimum book work and optimum knowledge. Also the material is  shaped into videos so that you get the concepts better and do not have to spend time doing the background work.

Especially the Support is just too fantastic and awesome. They have a dedicated Tech Support team that help you out with the LMS access, sending across the Analytics datasets and code snippets, also giving dedicated one to one support for software installation, renewing course access, and a host of other such functionalisations for your learning experience.

You wont have to do heavy lifting like in the University but you will get everything you require
in the shortest learning span. The ideas are conveyed in a manner that allows you to do the practicum with complete confidence regardless of
your background.
In particular I have in mind and I am reviewing the Integrated Program in Business Analytics which is delivered in part by the Indian Institute of
Management Indore and of course Jigsaw. The course was administered for us by Moses Kola, Manager Long Term Programs, Jigsaw. He was ready to assist in all matters round the working  hours and round the year.
Especially he covered the gap between us the students and the Faculty from both institutes by conveying our difficulties and challenges to the faculty. He ensured that all the course material such as meeting links, code snippets, data sets etc reached us in time.

In particular he assisted students with working out timings and batches for the graded assessments and rescheduling of the assessments if necessary. He arranged open office sessions for all working batches so that we could interact with the course professors. And of course yes, he helped in the formation of a committee for the end course placements.
So yes, he was my go to person for anything and everything I needed. I hope if you are registering for this course you have the good luck of being assigned to Moses.
The Academic Coordinators from the IIM Indore side, Prof. Pritam Ranjan and from the Jigsaw side, Prof. Jitendra Manwani, deserve a noteworthy mention. Interacting with them, in class and open office, either directly or indirectly through other faculty,  was revealing in terms of academic as well as corporate trajectories and strategizing for a Business Analytics career. The gains are intangible if you consider the overall wisdom and expertise they (all faculty) bring to the table.

Also a word about the counselling team and career counsellors. They assist you in mapping the course delivery to your exact needs, resulting in  a precise and unique course structure for you. In returning to Jigsaw for future courses you will be assigned the same career counsellor for your future requirements or a different counsellor if you wish to start all over. Anyway the counsellors are well aware of, and trained to tailor the course to your complete profile and growth requirements, so do give importance to the admissions process and counselling track. I had the good opportunity of being assigned to Senior Counsellor Mohit Sareen, who helped me bridge the gap from plain graduate to student of IPBA. I hope you also get the best out of your counsellor if you are associating with Jigsaw.

Thank you Jigsaw, and people, all the best!

Rejoinder: For your coursework, assignments and project work I give five hints:
First Hint: It's simpler than you think!
Second Hint: It's not as simple as it looks!
Non-graded Hint: It is all before your eyes!
Graded Hint: It can get as tough as you can't think!
Notch Hint: As Mohit rightly says, Jigsaw is ten steps ahead of us!!

Enjoy!",5
Namrata khare,"Jigsaw Academy provides a structured curriculum format that helps students to start with their first step towards the world of analytics with trust and determination to excel in the field of Analytics by learning from basics to technicalities and understanding the tools and concepts like statistics. For those who want to enter into the business world of Analytics and learn things from the basics to the complex case studies which can make you ready to start a career in the analytics job roles, this is the place for you.",5
NIRANTARA PODDAR,I recently completed Integrated Program in Business Analytics at Jigsaw in partnership with IIM Indore. It was a great learning experience with weekend classes providing a hands on experience on every topic while introducing to some industry specialists as well. Faculties are well learned and the staffs are helpful. Special thanks to Mr. Moses for making the entire flow seamless. He is very approachable and handles every situation with calm and solution driven approach. The assignments at the end of each course keeps the students well equipped for industry exposure.,5
Shubham Bakliwal,"I have enrolled myself for IPBA program last year and the course was really good and it provide me a good insight of BA. Throughout the course I had my share of difficulties as I was having a different weekend than sat and sun but throughout the course I got immense support from jigsaw team and specially Moses kola , I really thank this guy for the support and patience he had shown while dealing with me. I really had a roller coaster ride throughout the 10+ month of this course and it was more easier due to him.",5
SudhirDutt Sharma,"The IIM-Indore and Jigsaw PG Certificate Program in Product Management program is good program for those who want to acquire skills in Product Management.

The  Program is of six months and covers aspect all aspects of Product Management, provides understanding on segmentation, Process, UI/UX, Pricings and complete Product life cycle of a Product from ideation to launch and best part is you will need to implement these in your own product (BYOP)  with support of mentor, which helps and forces you  to learn and implement leading to gain in real and practical knowledge on all concepts and way a Product Mangers should think and work.
The Faculty from IIM-Indore, they are just great and they impart knowledge and available for assistance off class as well and Mentors are always there to support and guide you through the process of implementing the concepts right way.
Support Team has been excellent, I thank Syed and Irshad  for the support provided, the duo had helped in complete understanding of process around the course and have provided support  whenever I  had any query or clarifications and issues that faced related to IT or curriculum related we resolved / clarified immediately.",5
Vishal Sutar,"I am the first student enrolled with IIM Indore SSM first batch. Today I feel proud and satisfied on my decision. Such courses are very useful for working professionals like me which not only add-on knowledge but also does value additions in our career having prestigious IIM certification. I request for conducting more and more courses like this so that more people like me can get benefits. Thanks to all Jigsaw, IIM staff and all course faculties. Trust we get continue support on the course done and request for getting good study material which we can refer in future to refresh/recall our course details. Such programs also can assist to get inputs from working professionals like me who have came from different fields. If inputs from working professionals are recorded can be shared to freshers. Special thanks to Mr. Mozes who provided his exclusive assistance in all issues. At the beginning of this course I went through very very difficult period as my mother was hospitalized. She had to go through very critical treatment. I was in hospital 24hrs but still attended sessions. On my request video recordings of those sessions were extended on my request. Which helped me at some extent to complete related quizzes. Thanks again",4
Omprakash Pullarwar,"Joined (PGCP-DSML) program. The teaching faculties and the student support both are excellent.
Teachers are experienced and has a very good command on teaching. The best part is, the exercises given on each topic that helped me to get a
very good grip on the concepts that we are learning.
Really enjoying learning",5
Mahesh Bhosale,"I recently completed People Analytics and Digital HR at Jigsaw in collaboration with IIM Indore. It was a great learning experience with weekend classes providing  hands on experience on every topic while introducing to Statistics and Visualization which is an essential output for HR like me. The faculties both Jigsaw and IIM were fantastic and expertized. Especially the way Mr. Mallikarjun and Professor Mit Sir dealt the subject so energetically and in a simple layman language that helped us lot clear the subject with ease. Great Experience Overall.

Special thanks to Mr. Balaji Sir and Mr. Irshad for making the entire flow seamless. I would like to specially mention about him for being an excellent facilitator right from beginning to the end of the course. He is very approachable, quick at resolving all our Queries and handles every situation with calm and solution driven approach. I really commend your dedication, hard work & sincerity to your profession.",5
Saraj Sadanand,"Great place to kick start your journey in Data Science. Good placement support, got placed into Deloitte (Analytics). Special thanks to the faculty especially Mr. Moses for continuously supporting throughout the 10 months journey!
Would definitely recommend. Any clarification about the course content and placements, feel free to reach out to me over LinkedIn.
- Saraj (IPBA9, IIM Indore)",5
Arunima Banerjee,"About the PGCP DSML 6 months full time course at Jigsaw Academy - Excellent pedagogy, systematic course-design, and great support from the team for problem-solving and doubt clearing; really helpful for anyone who wants to upskill or make a fresh entry to the ever-widening landscape of data science and business analytics.",5
AMIT KUMAR SRIVASTAVA,It's quite great program for data analytics and data science. All the modules are taught in deep from basics to advance. All the professors are quite good in their subject areas and would clear every doubt. I would recommend this to everyone who wants to either switch in data analytics or wants deep understanding and some profile building,5
Kalyan Venkatesh,"It was always a dream to get a certificate in Analytics. At the right time when I was searching for a good place to learn it, I came accross Jigsaw Academy & IIM-Indore offering a beautiful course in Business analytics.
After a small conversation with the sales team, I was convinced that this is a good place to get myself certified as a Business Analyst. Joined the course which was for 11 months and had a good experience from the beginning. The lecturers are pretty good with their subjects and give a good knowldge transfer. The support team especially Moses Kola was of a great help till the very end. It helped all of us in the batch to approach him for any kind of query we had and he solved it within a jif.
Hoping the certificate will get me on a higher note in my career.
Thanks Jigsaw Team.
Cheers.",4
ABHISHEK PRASAD NONIA,"Grt experience..I joined PGCP-DSML course. I have zero coding experience. I have never done coding before. But because of the experienced faculty of jigsaw, I get to learn new things everyday.
Jigsaw's experienced faculty helps the student a lot in learning coding.",5
Manojit Sarkar,"I come from an entirely different background, which is completely non-technical. I wanted to learn Data Science from an organization which is not only known for its courses on emerging technologies, but also provides great learning and Jigsaw Academy provided me just that!!

All the faculty members are very knowledgeable and very patient when it came to solving doubts and queries. Throughout the tenure of the course, Jigsaw Academy also conducted quite a few sessions with industry experts which was a great learning experience.

The program coordinator Moses has been very cooperative throughout the course. The best thing about him is he knows each student by their name, even if it means saving everyone's # it is a big thing!

The classes are also conducted only on Saturday's and Sunday's which is a boon for working professionals. The course content covered all the aspects of Data Science starting from teaching us about CRISP DM to inferential & descriptive statistics to machine learning & NLP. Also they covered all the important software used in Data Science like R, Python, SQL, Tableau, Hadoop, SPARK etc.

Joining the IPBA course provided by Jigsaw Academy in collaboration with IIM Indore, was one of the best decisions in my life. I would strongly recommend anyone willing to make a career in data science to consider joining this course.",5
Shashank Sharma,"I was a part of the PGCP in Product Management offered by IIM Indore with Jigsaw Academy. The support and timely responses received from Syed Shaheed from Jigsaw was absolutely amazing. Syed is very calm and friendly and manages to respond to individual as well as group concerns with utmost poise and professionalism. He being my batch's liaison from Jigsaw, it makes me feel highly of the culture of the organisation itself as well.",5
N.Raja subramanian,"I recently completed Integrated program for Business Analytics (IPBA) from Jigsaw Academy & IIM Indore .This course gave me vast learning in different topics like Statistics,ML,Python,SQL etc.. .Courses were conducted by IIM ,Jigsaw faculty member along with Industrial Experts . The content provided by Jigsaw portal was very simple and informative . The support rendered by Project Coordinator -Mr.Moses was very helpful and supportive at all the levels during the class room session,open office & any query related topic (through Mail ).Overall the Knowledge and Teaching provided by all the Professors and Experts was remarkable.",5
MD Mazhar,"I completed PG Program in Product Management , certified by IIM Indore  - Bring your own product and learn how your product starts with an idea and takes shape gradually. This course helped me to understand deeply on the subjects like Segmenting , Targeting, Positioning. The 5i framework is an ultimate tool , one can apply this in any product domain. Thanks to Jigsaw academy for such a wonderful opportunity. IIM faculties took the course to the next level. Strongly recommended course to all the aspiring Product Managers and individuals who are willing to step up in their careers.",5
Taarini Oberoi,"I enrolled for the Integrated Programme in Business Analytics - IIM Indore and it was a great learning experience. The faculty was knowledgeable, approachable and resourceful. The program coordinator Moses Kola was extremely helpful and prompt in all his help which made our journey even smoother. Keep it up Jigsaw",5
Vishwanath Ravuri,"I am Pursuing PGCP-PM from Jigsaw. The course is well structured and the students are well equipped with the resources too. What makes this course stand apart is the BYOP methodology of teaching which gives a holistic approach and enhances learning.
Kudos to the support team especially Mr.Syed who has been instrumental in addressing all queries timely. His prompt and active support has made learning even enriching. Regards. R. Vishwanath",5
